Gemeinde;BFS_NR_GEMEINDE;BEZIRK_NR;BEZIRK_BEZ;BEZIRK_NR_ALT;Wohnbevölkerung_2004;Ausländeranteil_Prozent_2004;Wohnbevölkerung_2005;Ausländeranteil_Prozent_2005;Wohnbevölkerung_2006;Ausländeranteil_Prozent_2006;Wohnbevölkerung_2007;Ausländeranteil_Prozent_2007;Wohnbevölkerung_2008;Ausländeranteil_Prozent_2008;Wohnbevölkerung_2009;Ausländeranteil_Prozent_2009;Wohnbevölkerung_2010;Ausländeranteil_Prozent_2010;Wohnbevölkerung_2011;Ausländeranteil_Prozent_2011;Wohnbevölkerung_2012;Ausländeranteil_Prozent_2012;Wohnbevölkerung_2013;Ausländeranteil_Prozent_2013;Wohnbevölkerung_2014;Ausländeranteil_Prozent_2014
Kemmental;4666;2013;Kreuzlingen;2005;2157;8;2137;8.5;2155;9.0;2203;10.6;2207;11.3;2229;12.6;2285;14.8;2272;16.4;2290;17.9;2311;18.0;299;39.5
Kesswil;4426;2011;Arbon;2001;925;15;926;14.9;952;16.1;951;16.2;973;16.0;981;17.0;985;17.6;980;17.8;1007;17.9;984;16.3;1540;18.4
Kradolf-Schönenberg;4501;2015;Weinfelden;2002;3130;19.4;3181;19.0;3207;17.7;3215;18.2;3290;19.1;3307;19.5;3288;19.8;3316;20.4;3298;21.0;3356;21.5;2353;17.8
Kreuzlingen;4671;2013;Kreuzlingen;2005;17441;44.3;17583;44.7;17722;45.0;18133;46;18433;47.8;18933;48.6;19415;49.8;19808;50.7;20349;51.6;20680;52.6;21166;53.4
Langrickenbach;4681;2013;Kreuzlingen;2005;1062;6.9;1070;7.2;1068;6.6;1099;7.3;1117;9.4;1108;10.6;1119;10.5;1135;11.0;1145;11.6;1223;14.0;1264;14.8
Lengwil;4683;2013;Kreuzlingen;2005;1191;11.6;1239;12.0;1231;12.6;1252;12.6;1284;14.3;1367;16.5;1363;16.6;1414;18.5;1428;19.5;1482;21.3;1560;23.5
Lommis;4741;2014;Münchwilen;2006;1042;6.2;1059;6.6;1048;6.3;1049;8;1068;8.8;1086;9.0;1101;9.3;1116;10.4;1125;11.0;1166;11.7;3143;38
Mammern;4826;2012;Frauenfeld;2007;551;26.7;562;25.8;557;20.8;585;24.3;577;22.5;584;26.0;584;26.4;594;27.1;615;27.2;611;26.4;411;10
Märstetten;4941;2015;Weinfelden;2008;2320;11.5;2340;10.9;2388;10.6;2399;10.2;2429;10.5;2454;10.2;2480;10.5;2585;11.8;2581;11.2;2710;11.6;1295;25.1
Matzingen;4591;2012;Frauenfeld;2004;2397;18.9;2405;19.3;2433;19.4;2433;18.9;2504;20.6;2530;19.6;2529;19.6;2540;19.9;2556;21.0;2524;20.9;4320;35.4
Müllheim;4831;2012;Frauenfeld;2007;2493;14;2536;14.5;2487;12.8;2496;12.3;2573;13.3;2629;13.7;2676;13.8;2643;13.3;2666;13.6;2787;14.5;1030;15.2
Münchwilen;4746;2014;Münchwilen;2006;4661;18.3;4607;18.3;4628;17.7;4618;17.1;4674;17.6;4760;17.9;4765;18.2;4873;18.9;4997;19.4;5050;20.2;8555;15.6
Münsterlingen;4691;2013;Kreuzlingen;2005;2502;27.7;2459;28.3;2467;28.8;2543;30.6;2648;33.4;2768;33.9;2867;35.9;2962;36.0;3054;36.5;3113;36.9;1128;21.9
Neunforn;4601;2012;Frauenfeld;2004;941;5.6;944;4.8;931;4.4;933;6;956;6.6;986;7.4;968;6.8;955;7.0;953;6.9;950;6.3;2769;11.2
Pfyn;4841;2012;Frauenfeld;2007;1845;12;1862;10.3;1839;10.3;1898;11.1;1925;10.9;1933;11.4;1927;11.7;1959;12.3;1948;13.1;1929;13.4;755;8.6
Raperswilen;4846;2013;Kreuzlingen;2007;409;6.6;408;5.6;397;4.0;397;4.8;404;5.2;402;5.5;396;5.8;401;6.7;403;6.7;393;7.1;4210;12.9
Rickenbach;4751;2014;Münchwilen;2006;2408;29.7;2400;29.6;2407;30.2;2451;30.8;2502;31.4;2510;31.6;2470;30.5;2554;31.0;2593;31.4;2688;32.1;2563;7.3
Roggwil;4431;2011;Arbon;2001;2679;7;2736;7.3;2765;7.4;2806;8.1;2889;9.3;2872;9.1;2884;9.5;2941;10.0;2888;10.2;2867;10.3;1191;12.1
Romanshorn;4436;2011;Arbon;2001;9186;25.6;9179;25.8;9191;25.8;9292;26.2;9455;27.0;9606;27.3;9699;27.9;10076;29.0;10254;29.2;10435;29.8;5137;20.9
Salenstein;4851;2013;Kreuzlingen;2007;1201;20.4;1212;21.2;1191;20.8;1244;22.3;1242;23.1;1256;23.9;1278;24.3;1255;25.6;1260;24.8;1290;25.7;2712;33.6
Salmsach;4441;2011;Arbon;2001;1302;23;1327;22.1;1310;22.7;1305;22.3;1290;22.7;1296;24.3;1303;22.6;1323;24.9;1329;25.1;1342;24.9;7488;22.5
Schlatt;4546;2012;Frauenfeld;2003;1561;8.4;1525;6.8;1556;7.8;1574;9;1595;10.1;1601;10.2;1601;9.8;1599;10.5;1624;12.4;1626;11.2;1507;14.2
Schönholzerswilen;4756;2015;Weinfelden;2006;731;2.5;744;2.4;748;2.4;751;2.4;771;4.2;770;4.4;765;3.8;778;4.5;799;5.9;823;5.7;4471;14.9
