Gemeinde,BFS_NR_GEMEINDE,Total,Ausländeranteil_Prozent,Jahr
Güttingen,4656,1443,16.8,2010
Hauptwil-Gottshaus,4486,1824,10,2010
Hefenhofen,4416,1188,10.2,2010
Herdern,4811,947,6.5,2010
Hohentannen,4495,605,7.9,2010
Homburg,4816,1488,5.6,2010
Horn,4421,2599,17,2010
Hüttlingen,4590,821,7.8,2010
Hüttwilen,4821,1496,10.2,2010
Kemmental,4666,2285,14.8,2010
Kesswil,4426,985,17.6,2010
Kradolf-Schönenberg,4501,3288,19.8,2010
Kreuzlingen,4671,19415,49.8,2010
Langrickenbach,4681,1119,10.5,2010
Lengwil,4683,1363,16.6,2010
Lommis,4741,1101,9.3,2010
Mammern,4826,584,26.4,2010
Märstetten,4941,2480,10.5,2010
Matzingen,4591,2529,19.6,2010
Müllheim,4831,2676,13.8,2010
Münchwilen,4746,4765,18.2,2010
Münsterlingen,4691,2867,35.9,2010
Neunforn,4601,968,6.8,2010
Pfyn,4841,1927,11.7,2010
Raperswilen,4846,396,5.8,2010
Rickenbach,4751,2470,30.5,2010
Roggwil,4431,2884,9.5,2010
Romanshorn,4436,9699,27.9,2010
Salenstein,4851,1278,24.3,2010
Salmsach,4441,1303,22.6,2010
Schlatt,4546,1601,9.8,2010
Schönholzerswilen,4756,765,3.8,2010
Sirnach,4761,7039,21.1,2010
Sommeri ,4446,516,10.1,2010
Steckborn,4864,3497,24.1,2010
Stettfurt,4606,1112,6.1,2010
Sulgen,4506,3397,20.8,2010
Tägerwilen,4696,3926,31.8,2010
Thundorf,4611,1307,7.2,2010
Tobel-Tägerschen ,4776,1382,13,2010
Uesslingen-Buch,4616,1060,5.3,2010
Uttwil,4451,1751,14.7,2010
Wagenhausen,4871,1619,17.9,2010
Wäldi,4701,987,11.6,2010
Wängi,4781,4160,13.2,2010
Warth-Weiningen,4621,1230,7,2010
Weinfelden,4946,10333,19.9,2010
Wigoltingen,4951,2155,11,2010
Wilen,4786,2076,9,2010
Wuppenau,4791,1035,5.8,2010
Zihlschlacht-Sitterdorf,4511,2076,10.2,2010
Aadorf,4551,8243,14.4,2011
Affeltrangen,4711,2338,12.7,2011
Altnau,4641,2065,18.5,2011
Amlikon-Bissegg,4881,1278,7.4,2011
Amriswil,4461,12315,27.4,2011
Arbon,4401,13647,28.9,2011
Basadingen-Schlattingen,4536,1678,11.6,2011
Berg,4891,3104,11,2011
Berlingen ,4801,833,21.8,2011
Bettwiesen,4716,1082,19.9,2011
Bichelsee-Balterswil,4721,2624,9.4,2011
Birwinken,4901,1271,7,2011
Bischofszell,4471,5507,22.4,2011
Bottighofen,4643,2110,28.9,2011
Braunau,4723,706,7.2,2011
Bürglen,4911,3356,25.6,2011
Bussnang,4921,2151,10.5,2011
Diessenhofen ,4545,3457,30.7,2011
Dozwil,4406,650,11.7,2011
Egnach,4411,4312,12,2011
Erlen,4476,3186,21.4,2011
Ermatingen,4646,2909,26.4,2011
Eschenz,4806,1640,15.8,2011
Eschlikon,4724,3920,11.9,2011
Felben-Wellhausen,4561,2503,17.5,2011
Fischingen,4726,2554,7.2,2011
Frauenfeld,4566,23527,22.2,2011
Gachnang,4571,3415,11.5,2011
Gottlieben,4651,315,35.9,2011
Güttingen,4656,1446,18.1,2011
Hauptwil-Gottshaus,4486,1820,9.8,2011
Hefenhofen,4416,1185,11.4,2011
Herdern,4811,946,6.7,2011
Hohentannen,4495,618,9.4,2011
Homburg,4816,1464,7,2011
Horn,4421,2591,16.4,2011
Hüttlingen,4590,814,8.5,2011
Hüttwilen,4821,1532,9.3,2011
Kemmental,4666,2272,16.4,2011
Kesswil,4426,980,17.8,2011
Kradolf-Schönenberg,4501,3316,20.4,2011
Kreuzlingen,4671,19808,50.7,2011
Langrickenbach,4681,1135,11,2011
Lengwil,4683,1414,18.5,2011
Lommis,4741,1116,10.4,2011
Mammern,4826,594,27.1,2011
Märstetten,4941,2585,11.8,2011
Matzingen,4591,2540,19.9,2011
Müllheim,4831,2643,13.3,2011
Münchwilen,4746,4873,18.9,2011
Münsterlingen,4691,2962,36,2011
Neunforn,4601,955,7,2011
Pfyn,4841,1959,12.3,2011
Raperswilen,4846,401,6.7,2011
Rickenbach,4751,2554,31,2011
Roggwil,4431,2941,10,2011
Romanshorn,4436,10076,29,2011
Salenstein,4851,1255,25.6,2011
Salmsach,4441,1323,24.9,2011
Schlatt,4546,1599,10.5,2011
