Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Arbon,4401,21.1,25.9,34.4,12.9,5.6,2007
Basadingen-Schlattingen,4536,25.1,22.9,38.2,10.8,3,2007
Berg,4891,27.1,24,35.7,9.2,4,2007
Berlingen,4801,17.2,20,41.7,15.4,5.7,2007
Bettwiesen,4716,25.7,26.2,37.4,7.6,3.1,2007
Bichelsee-Balterswil,4721,24.6,23.3,38.7,10,3.3,2007
Birwinken,4901,36.9,25.1,24.2,10,3.8,2007
Bischofszell,4471,23.6,26.6,33.6,11,5.2,2007
Bottighofen,4643,17.2,23.5,42.3,13.9,3.1,2007
Braunau,4723,28.1,27.8,34,7.4,2.7,2007
Bürglen,4911,23.1,26.2,37.3,9.3,4.1,2007
Bussnang,4921,28.1,24.2,34.4,9.2,4.1,2007
Diessenhofen,4545,20.9,26.9,37.2,11.8,3.1,2007
Dozwil,4406,26.8,21,35,11.6,5.6,2007
Egnach,4411,26,25.1,35.1,9.9,4,2007
Erlen,4476,26.9,24.1,36.6,9.1,3.2,2007
Ermatingen,4646,20,23.1,38,13.4,5.5,2007
Eschenz,4806,22.3,23.7,38,12,4,2007
Eschlikon,4724,24.9,25.4,36.7,9.7,3.3,2007
Felben-Wellhausen,4561,24.6,26.6,38.9,7.3,2.6,2007
Fischingen,4726,25.6,23.6,37,9.3,4.5,2007
Frauenfeld,4566,21,28.2,35.1,11.1,4.7,2007
Gachnang,4571,25.9,24.5,40.1,7.6,2,2007
Gottlieben,4651,15.6,25.6,41.9,12.5,4.4,2007
Güttingen,4656,25.6,22.4,38,11.1,2.9,2007
Hauptwil-Gottshaus,4486,27,25.9,36.3,7.8,3,2007
Hefenhofen,4416,28.8,22.1,36.3,9.6,3.2,2007
Herdern,4811,26.6,23.3,38.5,8,3.6,2007
Hohentannen,4495,32.5,22.1,32,9.2,4.3,2007
Homburg,4816,25.3,23.6,38,9.5,3.7,2007
Horn,4421,21,25.6,35.5,11.7,6.1,2007
Hüttlingen,4590,26.4,25.4,37,8.6,2.5,2007
Hüttwilen,4821,24.4,23.6,37.2,10.6,4.2,2007
Kemmental,4666,26.5,23.3,37.1,9.5,3.7,2007
Kesswil,4426,23.1,22.6,36.9,14.1,3.3,2007
Kradolf-Schönenberg,4501,25.3,25.6,36.7,8.8,3.5,2007
Kreuzlingen,4671,19.5,28.4,35.4,12.4,4.3,2007
Langrickenbach,4681,28.5,23.3,36.1,7.6,4.5,2007
Lengwil,4683,25.9,23.1,39.3,9.3,2.4,2007
Lommis,4741,29.6,19.5,40.8,8.1,2,2007
Mammern,4826,23.9,24.8,37.3,10.1,3.9,2007
Märstetten,4941,28,25.7,35.3,8,3,2007
Matzingen,4591,26.1,25.2,37.2,8.4,3.1,2007
Müllheim,4831,27.1,23.6,36.9,9.2,3.2,2007
Münchwilen,4746,26.7,26.6,34.2,8.7,3.8,2007
Münsterlingen,4691,22.2,25.8,37.7,11.1,3.1,2007
Neunforn,4601,21.7,19.7,43.2,10.8,4.6,2007
Pfyn,4841,25.4,24.9,37.5,8.4,3.8,2007
Raperswilen,4846,25.9,22.2,36.8,10.6,4.5,2007
Rickenbach,4751,20.6,31.2,35,10.5,2.8,2007
Roggwil,4431,26.4,23.9,37.7,8.6,3.3,2007
Romanshorn,4436,22.2,24,34.8,12.8,6.2,2007
Salenstein,4851,18.8,20.7,44.9,10.6,5,2007
Salmsach,4441,24.3,25.1,37.6,10.2,2.8,2007
Schlatt,4546,25.9,24.4,36.3,10.1,3.4,2007
Schönholzerswilen,4756,31,22.9,31.7,10.8,3.6,2007
Sirnach,4761,24.3,26.5,35.6,9.8,3.8,2007
Sommeri,4446,23.3,23.7,37.2,12.7,3,2007
Steckborn,4864,22.1,20.9,38.5,12.4,6,2007
Stettfurt,4606,27.6,21.9,40.9,6.7,2.9,2007
Sulgen,4506,24.7,25.4,34.8,10.3,4.8,2007
Tägerwilen,4696,24.5,23.8,37.3,10.7,3.7,2007
Thundorf,4611,27.7,23.5,36.8,8.1,4,2007
Tobel-Tägerschen,4776,26.4,27.2,34.5,8.9,3.1,2007
Uesslingen-Buch,4616,27.2,20.2,39.2,10.3,3.1,2007
Uttwil,4451,25.2,22.8,37.7,10.3,4.1,2007
Wagenhausen,4871,22.7,24.2,37.3,11.8,4,2007
Wäldi,4701,24.4,23.1,38.8,10.4,3.3,2007
Wängi,4781,25.2,25.3,35.8,10,3.7,2007
Warth-Weiningen,4621,22.1,21.4,42.8,11.3,2.4,2007
Weinfelden,4946,21.3,28,32.5,12.7,5.6,2007
Wigoltingen,4951,25,23.1,37.8,10.5,3.6,2007
Wilen,4786,28.9,24.1,35.2,9,2.8,2007
Wuppenau,4791,28,22,36.5,10.9,2.6,2007
Zihlschlacht-Sitterdorf,4511,25.9,26.5,34.5,9.2,3.9,2007
Aadorf,4551,23.3,25.2,37.8,10.4,3.3,2008
Affeltrangen,4711,25.2,25.3,37.4,9,3.1,2008
Altnau,4641,25.4,22.7,39.5,9.7,2.6,2008
Amlikon-Bissegg,4881,26.1,21.1,38.7,10.6,3.5,2008
Amriswil,4461,23.5,26.8,33.9,11,4.8,2008
Arbon,4401,20.7,25.9,34.9,12.9,5.6,2008
Basadingen-Schlattingen,4536,26,19.7,39.9,10.9,3.6,2008
Berg,4891,26.8,23,36.3,9.9,3.9,2008
Berlingen,4801,16.6,21.3,41.9,15.2,4.9,2008
Bettwiesen,4716,24,25.9,38.6,7.9,3.5,2008
Bichelsee-Balterswil,4721,24.5,23.4,38.6,10.1,3.4,2008
Birwinken,4901,28.5,21.3,35.9,9.8,4.4,2008
Bischofszell,4471,23.1,26.4,34.1,11.4,5.1,2008
Bottighofen,4643,17.2,23.4,42.6,13.5,3.3,2008
Braunau,4723,29,25.1,35.5,7.9,2.5,2008
Bürglen,4911,21.7,27.2,37.6,9.3,4.1,2008
Bussnang,4921,26.9,25.2,34.7,8.9,4.3,2008
Diessenhofen,4545,20.7,27.5,36.7,11.9,3.3,2008
Dozwil,4406,26,20.6,35.3,12.4,5.8,2008
Egnach,4411,25.7,24.8,35.7,9.8,4,2008
Erlen,4476,25.4,25.1,37,9.2,3.3,2008
Ermatingen,4646,19.4,23.7,38.1,13.2,5.6,2008
Eschenz,4806,22.2,23.4,38,12.4,3.9,2008
Eschlikon,4724,23.9,25.8,37,9.9,3.3,2008
Felben-Wellhausen,4561,23.9,26,39.5,7.8,2.7,2008
Fischingen,4726,24.8,23.1,37.9,9.4,4.7,2008
